"Var1","Var2","Freq"
"01","1",0
"02","1",156
"03","1",4090
"04","1",8116
"05","1",7099
"06","1",6523
"07","1",14
"08","1",42
"09","1",8
"10","1",3
"11","1",0
"12","1",0
"01","2",176483
"02","2",175771
"03","2",129733
"04","2",134832
"05","2",143543
"06","2",185351
"07","2",140572
"08","2",159547
"09","2",222626
"10","2",277034
"11","2",338503
"12","2",448936
"01","3",11734
"02","3",9566
"03","3",13707
"04","3",17742
"05","3",19677
"06","3",22468
"07","3",9765
"08","3",9948
"09","3",8655
"10","3",10377
"11","3",10161
"12","3",11286
"01","4",10148
"02","4",9502
"03","4",10608
"04","4",11190
"05","4",11625
"06","4",12219
"07","4",8760
"08","4",9133
"09","4",10533
"10","4",11717
"11","4",12032
"12","4",13721
