"Var1","Freq","lon","lat"
"Colton",3824,-117.392322440377,34.3044786307531
"Fairfax",3898,-78.0494123093894,38.908974932273
"Fremont",3924,-121.051082648318,37.6143575201325
"Birmingham",3925,-86.7789023393631,33.5024109686624
"Norwalk",3950,-106.285831190886,35.836151855443
"Hollywood",3979,-80.1952607609952,26.0576332038201
"Sherman Oaks",4022,-118.45874041099,34.1537818068125
"Silver Spring",4041,-77.0162716617174,39.0331934402376
"Orange",4050,-112.934558139753,34.5597472076543
"Flint",4075,-83.7272645131288,42.9949530223313
"Albany",4114,-94.8678642078269,43.2750306815751
"Glendale",4138,-115.694812033833,34.3922275188497
"Ocala",4149,-82.1649895172331,29.1432588835864
"Pittsburgh",4149,-79.9749667172813,40.4424647413835
"Gardena",4166,-118.2892828747,33.878251268843
"Homestead",4179,-80.5657635522852,25.731680781766
"Memphis",4260,-89.7338050070422,35.2725374485915
"Modesto",4299,-121.005585770644,37.6450142367993
"Santa Ana",4400,-117.854789728636,33.7431024936364
"Tracy",4510,-121.161582315521,37.8122678332594
"Pomona",4513,-117.123903196322,34.1558764639929
"Columbus",4543,-84.4024199784284,39.845642794409
"Fontana",4577,-117.465045358313,34.1059736604763
"Salem",4585,-113.729916441003,43.4975270002181
"Pasadena",4645,-115.63742005662,33.9504155560818
"Baldwin Park",4694,-117.977074119514,34.0893459094589
"Tulsa",4695,-95.9172176366347,36.1073452097977
"North Miami",4704,-80.1815630916241,25.8926254130527
"Irvine",4991,-117.77504815548,33.6741396651974
"Hayward",5092,-121.877114467203,37.6970028976826
"Norfolk",5115,-76.2449098371457,36.9145846457478
"Newark",5258,-85.462548676493,39.8660374153671
"Dayton",5542,-87.5502578690004,40.1939215894984
"Stockton",5579,-120.9803148342,38.0260712989783
"Saint Louis",5733,-90.3225719461015,38.629591040293
"Arlington",5930,-91.5786117210793,38.3573964106239
"Pensacola",6098,-87.2670853461791,30.4705977509019
"Shreveport",6145,-93.7672257617575,32.4637520584215
"Saint Petersburg",6199,-82.6765024089369,27.7991103973221
"Brooklyn",6421,-74.2372735497586,40.612089872917
"Kissimmee",6858,-81.4798553751823,28.2978895663459
"San Antonio",6862,-98.0477160536287,29.4394862283591
"Lancaster",6882,-87.7284659007556,37.8298273182214
"Sarasota",6908,-82.4916738991025,27.3200829687319
"San Francisco",6924,-122.408130812103,37.7646907699307
"Grand Rapids",6951,-85.9140935914257,43.0910544160552
"Fort Myers",6971,-81.8325618667336,26.5596095293358
"Bradenton",7021,-82.5308273475288,27.4541034126193
"Fort Worth",7029,-97.3043213592261,32.7530671384265
"New York",7068,-73.9543435326825,40.7934929654782
"Whittier",7184,-117.945576467428,33.9884785509465
"Detroit",7344,-84.6268127751906,42.4636163816721
"Greenville",7361,-82.8603654106779,34.9560404947697
"Springfield",7543,-90.8747301731407,38.7655061032746
"Philadelphia",7555,-75.1816441225678,39.9637656917273
"Denver",7960,-104.152102035176,39.767907723995
"Indianapolis",8328,-86.1435033395773,39.7940286576609
"Seattle",8896,-122.317552743143,47.5969208028327
"Long Beach",8898,-118.040533682176,33.8307955506856
"Fresno",9025,-119.781218791911,36.7455609152355
"Chattanooga",9205,-85.2494574262901,35.0350813367735
"Rochester",9335,-79.5653103011248,43.2854348764863
"Bronx",9453,-73.8902568071512,40.8400863862266
"Washington",9624,-77.5754940175603,38.8836723765586
"Corona",9763,-113.488839358189,34.4990622829048
"Columbia",9885,-80.9833760403642,34.7153366223571
"Oakland",10051,-121.673860758432,38.1883548544423
"Fort Lauderdale",10345,-80.2061514336394,26.126799081682
"Hialeah",10398,-80.3217582938065,25.9086916292556
"Anaheim",10502,-117.843035233765,33.8484895253285
"Ontario",10538,-117.524834473904,34.8370178502562
"Salt Lake City",10709,-111.896647892987,40.7086422033803
"Tampa",10984,-82.4467286494902,27.998582471595
"Chicago",11188,-87.6698785462996,41.8495019831069
"San Bernardino",11249,-117.342607819273,34.1723591745933
"Bakersfield",12044,-119.022305439057,35.3476923268848
"Kansas City",13298,-94.5765621165589,39.0835850151903
"Riverside",13310,-116.422988042224,34.1567608701728
"San Jose",13377,-121.883423314346,37.3270517709501
"Tucson",13799,-110.943482390028,32.2307037600551
"Richmond",14349,-84.1062581706042,37.6532582480312
"Jacksonville",14967,-82.5506828065077,30.602479397274
"Atlanta",15622,-84.396554973883,33.7881967334528
"New Orleans",16251,-90.0613340710726,29.973994759461
"Saint Paul",16869,-93.332557370265,44.9722634418164
"Phoenix",17143,-112.127736889459,33.6139511271656
"Baton Rouge",18182,-91.1143933657463,30.4377596377186
"Austin",18301,-97.648692496257,30.5275464962024
"Nashville",20267,-86.7350376932452,36.1448908897222
"Portland",20944,-121.825832293831,45.4440617875286
"Minneapolis",22768,-93.3074157963809,44.9707068880446
"Raleigh",22840,-78.6372772697461,35.8181063603765
"San Diego",26627,-117.142271930522,32.7961923873887
"Sacramento",32559,-121.432046687275,38.5717759974201
"Charlotte",33152,-80.8526747148588,35.2420021110642
"Houston",39448,-95.4087323947729,29.7856655121679
"Dallas",41979,-96.9519437559732,32.8976757658353
"Orlando",54691,-81.3912827758132,28.5013206368141
"Los Angeles",68956,-118.274776465616,34.0282874752161
"Miami",106966,-80.3227120657125,25.7800646545538
